Id,Label,timeset,typ1,typ2,Label_NEW,Label_FINAL,Label_FIN,indegree,outdegree,degree,clustering
0,,,in,Interneuron,ADAL,,,11,19,30,0.153333
1,,,in,Interneuron,ADAR,,,12,17,29,0.145022
2,,,se,Sensory neuron,ADEL,,,7,28,35,0.093596
3,,,se,Sensory neuron,ADER,,,9,20,29,0.141304
4,,,se,Sensory neuron,ADFL,,,3,8,11,0.222222
5,,,se,Sensory neuron,ADFR,,,10,14,24,0.189542
6,,,se,Sensory neuron,ADLL,,,7,18,25,0.183333
7,,,se,Sensory neuron,ADLR,,,3,16,19,0.220588
8,,,se,Sensory neuron,AFDL,,,5,4,9,0.366667
9,,,se,Sensory neuron,AFDR,,,7,4,11,0.232143
10,,,in,Interneuron,AIAL,,,16,15,31,0.190476
11,,,in,Interneuron,AIAR,,,14,13,27,0.213235
12,,,in,Interneuron,AIBL,,,27,17,44,0.115865
13,,,in,Interneuron,AIBR,,,31,18,49,0.112011
14,,,in,Interneuron,AIML,,,3,17,20,0.172794
15,,,in,Interneuron,AIMR,,,2,13,15,0.173077
16,,,in,Interneuron,AINL,,,4,9,13,0.138889
17,,,in,Interneuron,AINR,,,4,13,17,0.179487
18,,,in,Interneuron,AIYL,,,11,9,20,0.190476
19,,,in,Interneuron,AIYR,,,10,8,18,0.181319
20,,,in,Interneuron,AIZL,,,14,15,29,0.144928
21,,,in,Interneuron,AIZR,,,14,15,29,0.181159
22,,,in,Interneuron,ALA,,,3,6,9,0.214286
23,ALML,,se,Sensory neuron,ALML,,ALML,6,12,18,0.104396
24,ALMR,,se,Sensory neuron,ALMR,,ALMR,2,7,9,0.119048
25,,,se,Sensory neuron,ALNL,,,4,3,7,0.05
26,,,se,Sensory neuron,ALNR,,,2,6,8,0.107143
27,,,se,Sensory neuron,AQR,,,10,19,29,0.252381
28,,,mo,Motor neuron,AS01,,,10,10,20,0.220833
29,,,mo,Motor neuron,AS02,,,8,9,17,0.236264
30,,,mo,Motor neuron,AS03,,,8,12,20,0.2375
31,,,mo,Motor neuron,AS04,,,7,7,14,0.275641
32,,,mo,Motor neuron,AS05,,,10,9,19,0.208333
33,,,mo,Motor neuron,AS06,,,8,10,18,0.211538
34,,,mo,Motor neuron,AS07,,,4,8,12,0.178571
35,,,mo,Motor neuron,AS08,,,2,6,8,0.066667
36,,,mo,Motor neuron,AS09,,,4,7,11,0.089286
37,,,mo,Motor neuron,AS10,,,6,6,12,0.233333
38,,,mo,Motor neuron,AS11,,,6,11,17,0.07619
39,,,se,Sensory neuron,ASEL,,,8,9,17,0.204762
40,,,se,Sensory neuron,ASER,,,10,11,21,0.241667
41,,,se,Sensory neuron,ASGL,,,5,5,10,0.380952
42,,,se,Sensory neuron,ASGR,,,7,5,12,0.152778
43,,,se,Sensory neuron,ASHL,,,10,16,26,0.189474
44,,,se,Sensory neuron,ASHR,,,13,17,30,0.177489
45,,,se,Sensory neuron,ASIL,,,2,10,12,0.322222
46,,,se,Sensory neuron,ASIR,,,2,8,10,0.446429
47,,,se,Sensory neuron,ASJL,,,3,5,8,0.366667
48,,,se,Sensory neuron,ASJR,,,3,4,7,0.4
49,,,se,Sensory neuron,ASKL,,,11,6,17,0.219697
50,,,se,Sensory neuron,ASKR,,,6,9,15,0.188889
51,,,se,Sensory neuron,AUAL,,,9,8,17,0.147436
52,,,se,Sensory neuron,AUAR,,,9,9,18,0.181319
53,,,in,Interneuron,AVAL,,,83,51,134,0.072981
54,,,in,Interneuron,AVAR,,,80,57,137,0.0741
55,,,in,Interneuron,AVBL,,,60,42,102,0.099279
56,,,in,Interneuron,AVBR,,,64,40,104,0.089596
57,,,in,Interneuron,AVDL,,,29,23,52,0.140592
58,,,in,Interneuron,AVDR,,,35,28,63,0.117172
59,,,in,Interneuron,AVEL,,,41,21,62,0.107744
